# ----------------------------------------
# Panoramica di Firebase
# Account: Default Account for Firebase
# Proprietà: rugbyradioliveweb
# ----------------------------------------
# Qual è la tendenza degli utenti attivi?
# Data di inizio: 20260401
# Data di fine: 20260430
N° giorno,30 giorni,7 giorni,1 giorno
0000,137,16,1
0001,134,15,2
0002,134,11,1
0003,135,10,2
0004,127,14,6
0005,98,17,5
0006,98,17,5
0007,100,21,5
0008,99,21,1
0009,102,25,7
0010,108,29,8
0011,112,29,5
0012,75,28,5
0013,71,27,2
0014,71,24,1
0015,73,27,6
0016,78,30,12
0017,81,29,7
0018,80,28,5
0019,78,28,5
0020,78,30,5
0021,77,30,3
0022,80,30,6
0023,83,24,7
0024,87,24,8
0025,90,32,14
0026,89,32,3
0027,93,33,6
0028,93,34,1
0029,96,33,3

#  
# Data di inizio: 20260401
# Data di fine: 20260430
N° giorno


#  
# Data di inizio: 20260401
# Data di fine: 20260430
App,Versione,Stato


#  
# Data di inizio: 20260430
# Data di fine: 20260430
App,Utenti che non hanno sperimentato arresti anomali


# Data di inizio: 20260429
# Data di fine: 20260429
App,Utenti che non hanno sperimentato arresti anomali


#  
# Data di inizio: 20260401
# Data di fine: 20260430
home_viewed,1244
user_engagement,1192
match_opened,737
commentary_started,702
spectator_joined_match,463
channel_viewed,373
channel_editor_viewed,250
session_start,233
match_list_viewed,203
commentary_ended,146
channel_list_viewed,138
channel_opened,124
channels_viewed,122
spectator_left_match,118
training_commentary_started,97
first_visit,90
team_viewed,76
profile_viewed,67
login_viewed,41
signup_started,40
feedback_viewed,24
scroll_to_top_clicked,21
favorites_viewed,19
channel_create_started,16
login_completed,11
channel_refreshed,8
danger_viewed,8
match_list_refreshed,5
static_page_viewed,5
reset_password_viewed,4
channel_list_refreshed,3
channel_list_searched,3
channel_created,1
commentary_message_sent,1
home_try_commentary_click,1
signup_completed,1
training_channel_opened,1
training_commentary_completed,1

# Quali sono i tuoi eventi chiave con il rendimento migliore?
# Data di inizio: 20260401
# Data di fine: 20260430
Nome evento,Eventi chiave


#  
# Data di inizio: 20260401
# Data di fine: 20260430
N° giorno,Entrate totali


# Data di inizio: 20260401
# Data di fine: 20260430
N° giorno,Entrate generate dagli acquisti


# Data di inizio: 20260401
# Data di fine: 20260430
N° giorno,Entrate pubblicitarie totali


#  
# Data di inizio: 20260401
# Data di fine: 20260430
N° giorno,Entrate medie generate dagli acquisti per utente attivo


#  
# Data di inizio: 20260401
# Data di fine: 20260430
ID Paese,Utenti attivi
BE,1
DE,5
DZ,1
ES,2
FR,7
GB,10
IE,2
IT,24
NL,2
NZ,1
PL,1
SG,26
US,14

# Data di inizio: 20260401
# Data di fine: 20260430
Paese,Utenti attivi
SG,26
IT,24
US,14
GB,10
FR,7
DE,5
ES,2

#  
# Data di inizio: 20260401
# Data di fine: 20260430
Modello dispositivo,Utenti attivi

