Ad unit,Estimated earnings (EUR),Impressions,CTR,Average Viewable Time,Active View Viewable,Ad impressions,Ads per impression,CPC (EUR),Coverage,Ad CTR,Impression RPM (EUR),Total impressions,Clicks,Ad requests,Ad RPM (EUR),Funnel clicks,Matched ad RPM (EUR),Matched ad CTR,Matched ad requests,Ad request CTR,Ad request RPM (EUR),Active View Measurable
Pagine Statiche,0.00,2,0,3.5355,1,2,1,,1,0,0.09,2,0,2,0.09,0,0.09,0,2,0,0.09,1
BLOG-MATCH,0.01,56,0,2.8529,0.4464,56,1,,0.7808,0,0.11,56,0,73,0.11,0,0.11,0,57,0,0.08,1
OLD-Channels,0.04,38,0,3.5883,0.3871,38,1,,0.8913,0,1.00,38,0,46,1.00,0,0.93,0,41,0,0.83,1
G-MATCH-EVENTS,0.01,14,0,3.3723,0.3571,14,1,,0.8235,0,0.43,14,0,17,0.43,0,0.43,0,14,0,0.36,1
HOME,0.05,101,0.0099,4.4084,0.2841,101,1,0.05,0.7687,0.0099,0.45,101,1,147,0.45,0,0.40,0.0088,113,0.0068,0.31,1
