Ad unit,Estimated earnings (EUR),Impressions,CTR,Average Viewable Time,Active View Viewable,Ad impressions,Ads per impression,CPC (EUR),Coverage,Ad CTR,Impression RPM (EUR),Total impressions,Clicks,Ad requests,Ad RPM (EUR),Funnel clicks,Matched ad RPM (EUR),Matched ad CTR,Matched ad requests,Ad request CTR,Ad request RPM (EUR),Active View Measurable
G-MATCH-EVENTS,0.00,30,0,3.9215,0.3333,30,1,,0.8378,0,0.06,30,0,37,0.06,0,0.06,0,31,0,0.05,1
BLOG-MATCH,0.00,3,0,4.155,0.3333,3,1,,1,0,0.06,3,0,3,0.06,0,0.06,0,3,0,0.06,1
OLD-Channels,0.01,30,0,2.9237,0.3214,30,1,,0.8857,0,0.22,30,0,35,0.22,0,0.22,0,31,0,0.19,1
HOME,0.09,80,0.0125,6.3263,0.1967,80,1,0.09,0.7339,0.0125,1.13,80,1,124,1.13,0,0.99,0.011,91,0.0081,0.73,1
Pagine Statiche,0.00,1,0,,0,1,1,,1,0,0.01,1,0,1,0.01,0,0.01,0,1,0,0.01,1
