Ad unit,Estimated earnings (EUR),Impressions,CTR,Average Viewable Time,Active View Viewable,Ad impressions,Ads per impression,CPC (EUR),Coverage,Ad CTR,Impression RPM (EUR),Total impressions,Clicks,Ad requests,Ad RPM (EUR),Funnel clicks,Matched ad RPM (EUR),Matched ad CTR,Matched ad requests,Ad request CTR,Ad request RPM (EUR),Active View Measurable
BLOG-MATCH,0.00,2,0,2.6835,1,2,1,,1,0,0.09,2,0,2,0.09,0,0.09,0,2,0,0.09,1
G-MATCH-EVENTS,0.00,13,0,9.5056,0.3846,13,1,,0.9286,0,0.16,13,0,14,0.16,0,0.16,0,13,0,0.15,1
HOME,0.03,46,0,3.0803,0.2381,46,1,,0.5976,0,0.70,46,0,82,0.70,0,0.66,0,49,0,0.39,1
OLD-Channels,0.00,9,0,1.092,0.125,9,1,,1,0,0.22,9,0,9,0.22,0,0.22,0,9,0,0.22,1
Pagine Statiche,0.00,0,,,,0,,,0,,,0,0,1,,0,,,0,0,0.00,
